Goalkeeping_Squad,Goalkeeping_No_Pl,Goalkeeping_Playing_Time_MP,Goalkeeping_Playing_Time_Min,Goalkeeping_Performance_GA,Goalkeeping_Performance_GA90,Goalkeeping_Performance_SoTA,Goalkeeping_Performance_Saves,Goalkeeping_Performance_Save_Pct,Goalkeeping_Performance_W,Goalkeeping_Performance_D,Goalkeeping_Performance_L,Goalkeeping_Performance_CS,Goalkeeping_Performance_CS_Pct,Goalkeeping_Penalty_Kicks_PKatt,Goalkeeping_Penalty_Kicks_PKA,Goalkeeping_Penalty_Kicks_PKsv,Goalkeeping_Penalty_Kicks_PKm,Goalkeeping_Penalty_Kicks_Save_Pct,Goalkeeping_Team_ID,Advanced_Goalkeeping_Goals_FK,Advanced_Goalkeeping_Goals_CK,Advanced_Goalkeeping_Goals_OG,Advanced_Goalkeeping_Expected_PSxG,Advanced_Goalkeeping_Expected_PSxG_perSoT,Advanced_Goalkeeping_Expected_PSxG_Plus_per,Advanced_Goalkeeping_Expected_per90,Advanced_Goalkeeping_Launched_Cmp,Advanced_Goalkeeping_Launched_Att,Advanced_Goalkeeping_Launched_Cmp_Pct,Advanced_Goalkeeping_Passes_Att,Advanced_Goalkeeping_Passes_Thr,Advanced_Goalkeeping_Passes_Launch_Pct,Advanced_Goalkeeping_Passes_AvgLen,Advanced_Goalkeeping_Goal_Kicks_Att,Advanced_Goalkeeping_Goal_Kicks_Launch_Pct,Advanced_Goalkeeping_Goal_Kicks_AvgLen,Advanced_Goalkeeping_Crosses_Opp,Advanced_Goalkeeping_Crosses_Stp,Advanced_Goalkeeping_Crosses_Stp_Pct,Advanced_Goalkeeping_Sweeper_No_OPA,Advanced_Goalkeeping_Sweeper_No_OPA_per90,Advanced_Goalkeeping_Sweeper_AvgDist,League
vs Arsenal,1,38,3420,88,2.32,197,113,56.9,6,6,26,4,10.5,4,3,0,1,0.0,18bb7c10,0,13,4,66.8,0.33,-17.2,-0.45,215,604,35.6,989,134,41.0,35.2,310,64.2,46.9,510,38,7.5,37,0.97,13.0,EPL
vs Aston Villa,2,38,3420,51,1.34,147,99,67.3,13,7,18,8,21.1,4,3,0,1,0.0,8602292d,2,6,2,44.1,0.29,-4.9,-0.13,134,355,37.7,829,173,29.6,31.9,225,48.9,39.7,439,27,6.2,41,1.08,15.1,EPL
vs Bournemouth,2,38,3420,37,0.97,126,89,70.6,21,6,11,18,47.4,0,0,0,0,,4ba7cbea,0,7,0,34.7,0.28,-2.3,-0.06,109,316,34.5,953,173,25.5,30.2,194,37.6,35.6,401,25,6.2,48,1.26,17.0,EPL
vs Brentford,1,38,3420,58,1.53,154,98,66.9,9,14,15,9,23.7,8,7,1,0,12.5,cd051869,2,8,2,54.6,0.31,-1.4,-0.04,157,546,28.8,928,183,39.8,35.2,244,72.5,50.3,531,34,6.4,53,1.39,15.7,EPL
vs Brighton,2,38,3420,72,1.89,225,157,70.7,12,8,18,5,13.2,6,6,0,0,0.0,d07537b9,1,3,4,66.8,0.28,-1.2,-0.03,202,663,30.5,1167,170,41.5,35.2,301,59.5,43.6,554,38,6.9,63,1.66,14.2,EPL
vs Chelsea,2,38,3420,38,1.0,155,117,77.4,16,11,11,14,36.8,3,3,0,0,0.0,cff3d9bb,1,5,1,43.7,0.27,6.7,0.18,169,488,34.6,1005,180,35.4,33.6,274,48.2,40.3,549,32,5.8,36,0.95,14.8,EPL
vs Crystal Palace,3,38,3420,40,1.05,135,96,71.1,15,12,11,16,42.1,3,1,1,1,50.0,47c64c55,1,5,2,41.2,0.29,3.2,0.08,139,373,37.3,1043,172,27.9,29.9,237,34.6,33.0,459,27,5.9,50,1.32,15.7,EPL
vs Everton,2,38,3420,34,0.89,145,114,78.6,18,12,8,14,36.8,3,3,0,0,0.0,d3fd31cc,0,5,2,38.6,0.25,6.6,0.17,122,377,32.4,1028,240,25.5,29.6,254,45.3,38.3,551,39,7.1,53,1.39,14.2,EPL
vs Fulham,2,38,3420,55,1.45,146,90,65.8,16,7,15,9,23.7,9,5,3,1,37.5,fd962109,1,10,3,52.1,0.31,0.1,0.0,139,430,32.3,1051,174,30.5,30.8,228,47.8,40.0,604,39,6.5,29,0.76,13.4,EPL
vs Leeds United,2,38,3420,48,1.26,143,97,67.1,21,10,7,10,26.3,3,1,1,1,50.0,5bfb9659,0,9,3,41.1,0.28,-3.9,-0.1,153,492,31.1,1007,204,36.0,33.4,265,48.7,40.0,520,35,6.7,43,1.13,14.2,EPL
vs Leicester City,2,38,3420,51,1.34,148,96,67.6,22,7,9,12,31.6,6,3,3,0,50.0,a2d435b3,2,4,2,44.9,0.27,-4.1,-0.11,200,484,41.3,1063,187,33.6,32.2,212,59.9,46.4,380,31,8.2,59,1.55,16.4,EPL
vs Liverpool,2,38,3418,75,1.97,206,134,64.6,9,10,19,8,21.1,4,2,0,2,0.0,822bd0ba,1,11,4,66.7,0.32,-4.3,-0.11,213,710,30.0,1011,199,48.9,38.6,312,69.2,49.8,651,40,6.1,48,1.26,14.7,EPL
vs Manchester City,2,38,3420,94,2.47,213,122,60.1,5,5,28,3,7.9,10,9,0,1,0.0,b8fd03ef,2,10,2,74.8,0.31,-17.2,-0.45,223,652,34.2,1203,174,40.3,35.3,303,55.1,42.9,552,32,5.8,23,0.61,13.0,EPL
vs Manchester Utd,1,38,3420,58,1.53,210,153,73.8,9,6,23,7,18.4,3,3,0,0,0.0,19538871,0,3,2,63.8,0.3,7.8,0.21,215,556,38.7,1215,189,35.1,32.0,274,47.4,38.5,406,19,4.7,64,1.68,18.2,EPL
vs Newcastle Utd,2,38,3420,68,1.79,190,126,67.4,5,14,19,11,28.9,6,6,0,0,0.0,b2b47a98,1,6,4,66.5,0.32,2.5,0.07,222,736,30.2,1082,195,48.1,38.2,298,72.5,50.6,580,55,9.5,51,1.34,14.2,EPL
vs Nott'ham Forest,3,38,3420,38,1.0,117,78,70.1,18,11,9,12,31.6,6,3,3,0,50.0,e4a775cb,0,4,2,32.9,0.23,-3.1,-0.08,97,280,34.6,915,192,23.2,28.2,221,30.8,31.0,416,27,6.5,49,1.29,15.4,EPL
vs Southampton,2,38,3420,36,0.95,134,98,74.6,25,7,6,15,39.5,4,2,2,0,50.0,33c895d4,3,5,0,36.1,0.25,0.1,0.0,161,428,37.6,1043,186,30.1,31.2,235,48.5,40.7,475,31,6.5,50,1.32,15.9,EPL
vs Tottenham,2,38,3420,70,1.84,192,123,66.1,14,6,18,4,10.5,6,5,1,0,16.7,361ca564,0,13,2,56.5,0.27,-11.5,-0.3,184,611,30.1,1024,169,44.4,36.5,221,70.6,49.8,530,30,5.7,60,1.58,15.7,EPL
vs West Ham,2,38,3420,42,1.11,141,98,74.5,20,7,11,13,34.2,8,6,2,0,25.0,7c21e445,0,10,1,40.1,0.24,-0.9,-0.02,140,432,32.4,1093,176,29.3,30.8,252,44.4,37.9,595,35,5.9,54,1.42,14.7,EPL
vs Wolves,2,38,3420,31,0.82,121,94,76.9,19,8,11,15,39.5,3,3,0,0,0.0,8cec06e1,0,4,3,28.6,0.21,0.6,0.02,158,450,35.1,980,166,34.5,32.9,229,48.9,39.3,509,30,5.9,72,1.89,18.6,EPL
vs Almería,3,38,3420,49,1.29,157,108,70.1,19,8,11,10,26.3,3,2,0,1,0.0,78ecf4bb,1,11,0,43.2,0.27,-5.8,-0.15,187,493,37.9,949,166,36.2,34.9,249,59.8,47.4,453,36,7.9,50,1.32,16.4,La Liga
vs Athletic Club,2,38,3420,47,1.24,164,116,74.4,15,9,14,16,42.1,7,5,2,0,28.6,2b390eca,1,2,1,52.0,0.28,6.0,0.16,271,721,37.6,1156,211,44.1,37.1,335,63.0,49.6,703,44,6.3,43,1.13,13.5,La Liga
vs Atlético Madrid,3,38,3420,70,1.84,196,128,64.8,7,8,23,5,13.2,1,1,0,0,0.0,db3b9613,0,8,2,62.5,0.32,-5.5,-0.14,199,468,42.5,1014,189,32.7,33.9,286,47.6,42.1,497,32,6.4,66,1.74,15.6,La Liga
vs Barcelona,2,38,3420,70,1.84,187,118,62.6,6,4,28,4,10.5,2,0,0,2,,206d90db,0,4,1,63.6,0.34,-5.4,-0.14,287,724,39.6,964,149,50.2,39.9,346,69.4,51.3,561,26,4.6,50,1.32,15.5,La Liga
vs Betis,2,38,3420,46,1.21,147,103,74.1,12,9,17,13,34.2,9,8,1,0,11.1,fc536746,1,5,3,48.6,0.27,5.6,0.15,186,449,41.4,955,160,32.9,33.2,260,51.9,43.9,400,17,4.3,37,0.97,16.7,La Liga
vs Cádiz,2,38,3420,30,0.79,112,83,76.8,16,12,10,17,44.7,5,4,0,1,0.0,ee7c297c,0,1,1,32.7,0.26,3.7,0.1,219,518,42.3,972,194,35.8,33.9,299,56.9,45.3,519,39,7.5,55,1.45,15.3,La Liga
vs Celta Vigo,2,38,3420,43,1.13,163,121,74.8,17,10,11,10,26.3,3,2,1,0,33.3,f25da7fb,0,3,2,42.7,0.25,1.7,0.04,208,523,39.8,979,142,36.7,35.5,250,65.6,49.5,559,29,5.2,26,0.68,12.5,La Liga
vs Elche,2,38,3420,30,0.79,129,98,79.8,23,10,5,16,42.1,5,4,1,0,20.0,6c8b07df,0,7,0,33.4,0.23,3.4,0.09,202,487,41.5,907,133,34.4,33.8,275,63.6,47.6,581,26,4.5,29,0.76,13.1,La Liga
