Goalkeeping_Squad,Goalkeeping_No_Pl,Goalkeeping_Playing_Time_MP,Goalkeeping_Playing_Time_Min,Goalkeeping_Performance_GA,Goalkeeping_Performance_GA90,Goalkeeping_Performance_SoTA,Goalkeeping_Performance_Saves,Goalkeeping_Performance_Save_Pct,Goalkeeping_Performance_W,Goalkeeping_Performance_D,Goalkeeping_Performance_L,Goalkeeping_Performance_CS,Goalkeeping_Performance_CS_Pct,Goalkeeping_Penalty_Kicks_PKatt,Goalkeeping_Penalty_Kicks_PKA,Goalkeeping_Penalty_Kicks_PKsv,Goalkeeping_Penalty_Kicks_PKm,Goalkeeping_Penalty_Kicks_Save_Pct,Goalkeeping_Team_ID,Advanced_Goalkeeping_Goals_FK,Advanced_Goalkeeping_Goals_CK,Advanced_Goalkeeping_Goals_OG,Advanced_Goalkeeping_Expected_PSxG,Advanced_Goalkeeping_Expected_PSxG_perSoT,Advanced_Goalkeeping_Expected_PSxG_Plus_per,Advanced_Goalkeeping_Expected_per90,Advanced_Goalkeeping_Launched_Cmp,Advanced_Goalkeeping_Launched_Att,Advanced_Goalkeeping_Launched_Cmp_Pct,Advanced_Goalkeeping_Passes_Att,Advanced_Goalkeeping_Passes_Thr,Advanced_Goalkeeping_Passes_Launch_Pct,Advanced_Goalkeeping_Passes_AvgLen,Advanced_Goalkeeping_Goal_Kicks_Att,Advanced_Goalkeeping_Goal_Kicks_Launch_Pct,Advanced_Goalkeeping_Goal_Kicks_AvgLen,Advanced_Goalkeeping_Crosses_Opp,Advanced_Goalkeeping_Crosses_Stp,Advanced_Goalkeeping_Crosses_Stp_Pct,Advanced_Goalkeeping_Sweeper_No_OPA,Advanced_Goalkeeping_Sweeper_No_OPA_per90,Advanced_Goalkeeping_Sweeper_AvgDist,League
vs Fiorentina,4,38,3420,53,1.39,177,124,72.3,12,11,15,9,23.7,6,4,2,0,33.3,421387cf,2,8,2,50.5,0.26,-0.5,-0.01,267,756,35.3,1293,193,43.1,37.1,320,62.2,47.6,677,37,5.5,30,0.79,12.3,Serie A
vs Hellas Verona,2,38,3420,31,0.82,117,88,74.4,21,10,7,13,34.2,1,1,0,0,0.0,0e72edf2,0,5,2,30.6,0.26,1.6,0.04,257,729,35.3,1301,151,44.0,36.6,236,66.1,49.2,494,27,5.5,43,1.13,15.4,Serie A
vs Inter,3,38,3420,71,1.87,202,133,66.8,12,3,23,7,18.4,5,4,1,0,20.0,d609edc0,2,6,3,63.3,0.3,-4.7,-0.12,185,563,32.9,995,180,37.3,36.2,325,59.1,47.0,705,30,4.3,20,0.53,11.0,Serie A
vs Juventus,2,38,3420,56,1.47,176,118,69.9,10,6,22,8,21.1,6,3,2,1,40.0,e0652b02,4,11,0,51.7,0.28,-4.3,-0.11,183,445,41.1,942,164,33.2,33.9,277,47.7,41.1,568,17,3.0,31,0.82,14.6,Serie A
vs Lazio,2,38,3420,60,1.58,168,108,67.9,8,8,22,7,18.4,8,6,1,1,14.3,7213da33,1,5,1,57.4,0.3,-1.6,-0.04,182,445,40.9,1241,168,27.6,30.3,237,43.5,39.1,382,21,5.5,47,1.24,14.4,Serie A
vs Lecce,1,38,3420,33,0.87,111,79,73.9,18,12,8,14,36.8,6,4,1,1,20.0,ffcbe334,0,5,2,30.2,0.23,-0.8,-0.02,183,486,37.7,1145,208,32.8,32.4,283,38.9,36.3,536,32,6.0,38,1.0,15.9,Serie A
vs Milan,3,38,3420,64,1.68,183,122,67.8,8,10,20,6,15.8,5,5,0,0,0.0,dc56fe14,1,5,3,60.8,0.31,-0.2,0.0,189,548,34.5,913,191,41.5,36.9,303,55.8,44.8,538,25,4.6,42,1.11,14.2,Serie A
vs Monza,2,38,3420,48,1.26,145,98,70.3,14,10,14,9,23.7,6,5,1,0,16.7,21680aa4,2,3,2,42.2,0.25,-3.8,-0.1,153,379,40.4,960,156,29.7,32.7,228,41.2,39.3,458,26,5.7,48,1.26,16.3,Serie A
vs Napoli,2,38,3420,77,2.03,222,145,68.9,4,6,28,6,15.8,10,8,2,0,20.0,d48ad4ff,0,16,2,63.7,0.25,-11.3,-0.3,207,628,33.0,1071,171,41.6,36.0,300,60.7,46.6,530,16,3.0,26,0.68,12.6,Serie A
vs Roma,2,38,3420,50,1.32,162,112,73.5,11,9,18,7,18.4,10,7,0,3,0.0,cf74a709,0,8,0,50.2,0.27,0.2,0.0,162,491,33.0,1103,180,31.9,33.8,237,58.6,46.7,473,26,5.5,57,1.5,15.4,Serie A
