Standard_Squad,Standard_No_Pl,Standard_Age,Standard_Poss,Standard_Playing_Time_MP,Standard_Playing_Time_Starts,Standard_Playing_Time_Min,Standard_Performance_Gls,Standard_Performance_Ast,Standard_Performance_G_Plus_A,Standard_Performance_G_PK,Standard_Performance_PK,Standard_Performance_PKatt,Standard_Performance_CrdY,Standard_Performance_CrdR,Standard_Expected_xG,Standard_Expected_npxG,Standard_Expected_xAG,Standard_Expected_npxG_Plus_xAG,Standard_Progression_PrgC,Standard_Progression_PrgP,Standard_Per_90_Minutes_Gls,Standard_Per_90_Minutes_Ast,Standard_Per_90_Minutes_G_Plus_A,Standard_Per_90_Minutes_G_PK,Standard_Per_90_Minutes_G_Plus_A_PK,Standard_Per_90_Minutes_xG,Standard_Per_90_Minutes_xAG,Standard_Per_90_Minutes_xG_Plus_xAG,Standard_Per_90_Minutes_npxG,Standard_Per_90_Minutes_npxG_Plus_xAG,Standard_Team_ID,Shooting_Standard_Sh,Shooting_Standard_SoT,Shooting_Standard_SoT_Pct,Shooting_Standard_Sh_per90,Shooting_Standard_SoT_per90,Shooting_Standard_G_perSh,Shooting_Standard_G_perSoT,Shooting_Standard_Dist,Shooting_Standard_FK,Shooting_Expected_npxG_perSh,Shooting_Expected_G_xG,Shooting_Expected_np_G_xG,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp_Pct,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp_Pct,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp_Pct,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp_Pct,Passing_xA,Passing_A_xAG,Passing_KP,Passing_One_Third,Passing_PPA,Passing_CrsPA,Pass_Types_Pass_Types_Live,Pass_Types_Pass_Types_Dead,Pass_Types_Pass_Types_FK,Pass_Types_Pass_Types_TB,Pass_Types_Pass_Types_Sw,Pass_Types_Pass_Types_Crs,Pass_Types_Pass_Types_TI,Pass_Types_Pass_Types_CK,Pass_Types_Corner_Kicks_In,Pass_Types_Corner_Kicks_Out,Pass_Types_Corner_Kicks_Str,Pass_Types_Outcomes_Off,Pass_Types_Outcomes_Blocks,Goal_And_Shot_Creation_SCA,Goal_And_Shot_Creation_SCA_SCA90,Goal_And_Shot_Creation_SCA_Types_PassLive,Goal_And_Shot_Creation_SCA_Types_PassDead,Goal_And_Shot_Creation_SCA_Types_TO,Goal_And_Shot_Creation_SCA_Types_Sh,Goal_And_Shot_Creation_SCA_Types_Fld,Goal_And_Shot_Creation_SCA_Types_Def,Goal_And_Shot_Creation_GCA,Goal_And_Shot_Creation_GCA_GCA90,Goal_And_Shot_Creation_GCA_Types_PassLive,Goal_And_Shot_Creation_GCA_Types_PassDead,Goal_And_Shot_Creation_GCA_Types_TO,Goal_And_Shot_Creation_GCA_Types_Sh,Goal_And_Shot_Creation_GCA_Types_Fld,Goal_And_Shot_Creation_GCA_Types_Def,Defensive_Tackles_Tkl,Defensive_Tackles_TklW,Defensive_Tackles_Def_3rd,Defensive_Tackles_Mid_3rd,Defensive_Tackles_Att_3rd,Defensive_Challenges_Tkl,Defensive_Challenges_Att,Defensive_Challenges_Tkl_Pct,Defensive_Challenges_Lost,Defensive_Blocks,Defensive_Blocks_Sh,Defensive_Blocks_Pass,Defensive_Int,Defensive_Tkl_Plus_Int,Defensive_Clr,Defensive_Err,Possession_Touches,Possession_Touches_Def_Pen,Possession_Touches_Def_3rd,Possession_Touches_Mid_3rd,Possession_Touches_Att_3rd,Possession_Touches_Att_Pen,Possession_Touches_Live,Possession_Take_Ons_Att,Possession_Take_Ons_Succ,Possession_Take_Ons_Succ_Pct,Possession_Take_Ons_Tkld,Possession_Take_Ons_Tkld_Pct,Possession_Carries,Possession_Carries_TotDist,Possession_Carries_PrgDist,Possession_Carries_One_Third,Possession_Carries_CPA,Possession_Carries_Mis,Possession_Carries_Dis,Possession_Receiving_Rec,Possession_Receiving_PrgR,Playing_Time_Playing_Time_Mn_perMP,Playing_Time_Playing_Time_Min_Pct,Playing_Time_Starts_Mn_perStart,Playing_Time_Starts_Compl,Playing_Time_Subs,Playing_Time_Subs_Mn_perSub,Playing_Time_Subs_unSub,Playing_Time_Team_Success_PPM,Playing_Time_Team_Success_onG,Playing_Time_Team_Success_onGA,Playing_Time_Team_Success_Plus_per,Playing_Time_Team_Success_Plus_per_90,Playing_Time_Team_Success_xG_onxGA,Playing_Time_Team_Success_xG_xG_Plus_per,Playing_Time_Team_Success_xG_xG_Plus_per_90,Misc_Performance_2CrdY,Misc_Performance_Fls,Misc_Performance_Fld,Misc_Performance_PKwon,Misc_Performance_PKcon,Misc_Performance_OG,Misc_Performance_Recov,Misc_Aerial_Duels_Won,Misc_Aerial_Duels_Lost,Misc_Aerial_Duels_Won_Pct,League
vs Ajaccio,36,26.1,56.8,38,418,3420,72,49,121,63,9,10,69,8,53.9,46.2,35.0,81.2,636,1696,1.89,1.29,3.18,1.66,2.95,1.42,0.92,2.34,1.22,2.14,7a54bb4f,410,152,37.1,10.79,4.0,0.15,0.41,17.6,18,0.12,18.1,16.8,16356,20436,80.0,298602,99155,6775,7903,85.7,7174,8331,86.1,1872,3174,59.0,35.0,14.0,297,1308,310,66,18521,1848,569,48,132,621,806,167,70,57,0,67,313,732,19.26,536,60,49,38,43,6,124,3.26,85,7,13,11,8,0,601,366,264,267,70,277,560,49.5,283,386,77,309,349,950,613,5,24302,1953,6843,12450,5271,764,24292,774,380,49.1,313,40.4,17674,100153,48479,558,135,539,324,16224,1685,90,100,81,239,172,21,167,2.18,74,23,51,1.34,36.1,17.8,0.47,2,523,512,7,9,1,2074,711,602,54.2,Ligue 1
vs Angers,33,26.5,53.1,38,418,3420,77,57,134,68,9,11,59,6,61.7,53.2,42.2,95.5,725,1600,2.03,1.5,3.53,1.79,3.29,1.62,1.11,2.74,1.4,2.51,69236f98,452,187,41.4,11.89,4.92,0.15,0.36,17.1,19,0.12,15.3,14.8,16447,19945,82.5,298240,100644,6859,7828,87.6,7221,8163,88.5,1809,2900,62.4,38.7,14.8,347,1274,310,80,18056,1819,504,45,160,640,793,199,88,72,1,70,334,802,21.11,578,80,46,46,43,9,136,3.58,96,9,12,6,10,3,741,450,348,293,100,392,833,47.1,441,347,84,263,370,1111,526,11,23892,1965,6828,12114,5218,824,23881,708,300,42.4,310,43.8,17872,102417,48645,589,160,564,342,16318,1589,90,100,81,256,157,22,172,2.37,81,33,48,1.26,40.9,20.8,0.55,2,437,466,8,4,2,2056,441,436,50.3,Ligue 1
vs Auxerre,33,26.4,56.7,38,418,3420,62,45,107,58,4,6,47,3,58.9,54.7,45.1,99.9,669,1837,1.63,1.18,2.82,1.53,2.71,1.55,1.19,2.74,1.44,2.63,5ae09109,466,175,37.6,12.26,4.61,0.12,0.33,16.4,15,0.12,3.1,3.3,17165,21041,81.6,302884,106544,7520,8588,87.6,7334,8452,86.8,1699,2884,58.9,42.2,-0.1,353,1494,343,88,19171,1788,488,75,134,751,739,207,84,85,2,82,372,829,21.82,597,76,49,45,44,18,108,2.84,85,4,6,8,3,2,639,393,276,267,96,319,656,48.6,337,379,98,281,361,1000,584,8,24994,2115,6775,12537,5872,886,24988,761,365,48.0,313,41.1,18531,107013,51617,573,190,544,361,16995,1815,90,100,82,255,159,19,176,1.79,63,35,28,0.74,42.7,16.2,0.43,0,438,432,4,9,3,2102,566,487,53.8,Ligue 1
vs Brest,29,26.1,55.1,38,418,3420,52,34,86,45,7,9,76,7,56.0,49.0,38.1,87.1,686,1926,1.37,0.89,2.26,1.18,2.08,1.47,1.0,2.48,1.29,2.29,fb08dbb3,480,170,35.4,12.63,4.47,0.09,0.26,16.3,17,0.1,-4.0,-4.0,16383,20233,81.0,288921,104110,6993,8078,86.6,7252,8318,87.2,1592,2751,57.9,42.1,-4.1,369,1457,367,85,18335,1832,526,68,123,674,746,194,80,79,0,66,368,871,22.92,632,77,48,59,47,8,90,2.37,59,9,3,9,9,1,623,370,307,234,82,301,571,52.7,270,396,95,301,368,991,655,11,24402,2105,6683,12407,5542,849,24393,833,384,46.1,356,42.7,17752,102226,49378,553,157,619,349,16224,1907,90,100,83,258,160,19,171,1.55,54,44,10,0.26,43.3,12.7,0.33,3,482,482,7,8,1,2126,569,633,47.3,Ligue 1
vs Clermont Foot,28,26.3,51.7,38,418,3420,49,33,82,41,8,12,76,9,58.2,48.7,35.4,84.1,646,1688,1.29,0.87,2.16,1.08,1.95,1.53,0.93,2.46,1.28,2.21,d9676424,475,152,32.0,12.5,4.0,0.09,0.27,18.1,19,0.1,-9.2,-7.7,15740,19391,81.2,281991,98164,6701,7700,87.0,6815,7858,86.7,1665,2763,60.3,37.4,-2.4,335,1463,293,71,17685,1652,445,56,143,615,737,152,61,59,0,54,350,833,21.92,583,66,63,50,52,19,81,2.13,49,4,8,10,8,2,647,366,237,295,115,309,659,46.9,350,432,97,335,433,1080,548,12,23471,2072,6482,11495,5745,752,23459,880,428,48.6,351,39.9,17297,95158,43718,558,155,591,334,15612,1667,90,100,83,246,167,17,171,1.24,49,45,4,0.11,47.5,10.7,0.28,4,617,399,8,10,1,2239,427,410,51.0,Ligue 1
vs Lens,29,26.0,44.4,38,418,3420,28,19,47,25,3,3,79,3,43.3,40.9,31.5,72.4,544,1268,0.74,0.5,1.24,0.66,1.16,1.14,0.83,1.97,1.08,1.91,fd4e0f7d,389,126,32.4,10.24,3.32,0.06,0.2,17.8,7,0.11,-15.3,-15.9,13591,16976,80.1,239440,85728,5867,6730,87.2,5925,6815,86.9,1320,2516,52.5,32.2,-12.5,305,989,233,43,15126,1796,535,40,66,523,668,161,67,69,1,54,325,690,18.16,500,65,43,44,22,16,44,1.16,28,5,3,4,3,1,557,315,255,220,82,255,581,43.9,326,376,106,270,408,965,746,15,20842,2503,7072,9772,4243,655,20839,656,308,47.0,262,39.9,14979,85794,39233,488,137,559,278,13455,1254,90,100,82,247,169,18,179,0.55,29,68,-39,-1.03,66.9,-23.6,-0.62,3,517,469,3,9,2,1859,369,406,47.6,Ligue 1
vs Lille,26,26.2,39.5,38,418,3420,41,26,67,37,4,5,75,6,40.5,36.6,27.8,64.3,513,1060,1.08,0.68,1.76,0.97,1.66,1.07,0.73,1.8,0.96,1.69,cb188c0c,324,117,36.1,8.53,3.08,0.11,0.32,17.3,8,0.12,0.5,0.4,11379,14925,76.2,213337,81858,4639,5526,83.9,4879,5774,84.5,1472,2750,53.5,23.7,-1.8,231,792,188,48,13088,1755,543,46,119,497,686,136,57,56,1,82,354,551,14.5,371,56,38,34,36,16,70,1.84,48,0,6,7,7,2,728,414,368,279,81,330,730,45.2,400,499,144,355,404,1132,682,14,19095,2690,7566,8149,3677,581,19090,739,344,46.5,314,42.5,12888,72736,33047,399,133,571,321,11275,1046,90,100,84,276,142,19,187,0.97,44,65,-21,-0.55,68.7,-28.2,-0.74,3,507,471,5,12,0,1991,463,440,51.3,Ligue 1
vs Lorient,30,26.4,53.4,38,418,3420,52,36,88,50,2,2,80,4,58.2,56.6,43.0,99.6,759,2065,1.37,0.95,2.32,1.32,2.26,1.53,1.13,2.66,1.49,2.62,d2c87802,563,180,32.0,14.82,4.74,0.09,0.28,17.2,17,0.1,-6.2,-6.6,17282,20818,83.0,307503,103678,7326,8278,88.5,7631,8640,88.3,1755,2811,62.4,51.0,-7.0,418,1665,417,127,19150,1626,425,41,120,910,678,211,95,87,0,42,401,984,25.89,717,86,55,56,49,21,83,2.18,60,3,8,5,4,3,720,433,329,272,119,388,794,48.9,406,425,115,310,395,1115,518,12,24862,1899,5971,12111,7059,993,24860,758,375,49.5,315,41.6,18751,107582,51572,739,169,538,421,17143,2048,90,100,83,270,145,20,175,1.29,53,52,1,0.03,44.5,13.6,0.36,3,526,379,2,6,3,2189,479,407,54.1,Ligue 1
vs Lyon,29,26.1,41.9,38,418,3420,44,24,68,33,11,11,66,4,51.7,43.1,34.1,77.2,677,1277,1.16,0.63,1.79,0.87,1.5,1.36,0.9,2.26,1.13,2.03,d53c0b06,417,144,34.5,10.97,3.79,0.08,0.23,17.3,18,0.11,-7.7,-10.1,12929,16553,78.1,227858,88246,5805,6841,84.9,5207,6194,84.1,1407,2509,56.1,30.1,-10.1,316,979,258,62,14765,1715,527,40,105,540,665,163,76,55,1,73,358,731,19.24,534,65,42,38,39,13,73,1.92,44,6,5,6,11,1,772,438,409,276,87,401,799,50.2,398,500,146,354,482,1254,738,15,21204,2523,7208,9590,4712,728,21193,867,404,46.6,367,42.3,14537,85123,39785,541,168,643,356,12787,1261,90,100,83,274,141,21,176,1.16,47,65,-18,-0.47,61.1,-9.5,-0.25,1,477,470,7,8,2,2207,438,452,49.2,Ligue 1
vs Marseille,30,26.2,43.3,38,418,3420,37,22,59,32,5,5,64,0,42.5,38.5,30.2,68.8,577,1146,0.97,0.58,1.55,0.84,1.42,1.12,0.8,1.91,1.01,1.81,5725cc7b,422,137,32.5,11.11,3.61,0.08,0.23,18.1,10,0.09,-5.5,-6.5,12111,15822,76.5,215956,86731,5348,6281,85.1,4904,5954,82.4,1384,2689,51.5,29.9,-8.2,316,913,213,59,13925,1867,583,26,82,542,716,155,54,72,0,30,281,727,19.13,538,60,36,43,29,21,62,1.63,45,3,2,6,6,0,680,390,352,258,70,320,676,47.3,356,460,150,310,454,1134,734,12,20200,2587,7075,9057,4313,639,20195,677,290,42.8,301,44.5,13609,77284,34565,550,156,629,384,11988,1133,90,100,81,254,163,22,179,0.89,40,67,-27,-0.71,65.3,-22.8,-0.6,0,442,510,5,7,6,2107,484,491,49.6,Ligue 1
vs Monaco,27,26.3,51.8,38,418,3420,55,40,95,50,5,5,58,2,53.2,49.7,38.2,87.9,647,1518,1.45,1.05,2.5,1.32,2.37,1.4,1.0,2.41,1.31,2.31,fd6114db,507,191,37.7,13.34,5.03,0.1,0.26,18.0,11,0.1,1.8,0.3,16087,19832,81.1,281112,102172,7090,8107,87.5,6926,7977,86.8,1535,2708,56.7,36.8,1.8,395,1111,285,63,18094,1688,557,57,106,570,605,163,59,62,0,50,375,886,23.32,643,74,57,61,35,16,100,2.63,67,6,6,10,9,2,628,353,302,250,76,283,601,47.1,318,415,100,315,434,1062,707,13,24161,2646,8508,11138,4798,773,24156,793,378,47.7,323,40.7,17694,99593,47218,567,158,569,373,15960,1502,90,100,81,260,155,23,175,1.08,58,70,-12,-0.32,62.1,-8.9,-0.23,0,429,471,5,8,1,2236,457,515,47.0,Ligue 1
vs Montpellier,31,26.5,54.2,38,418,3420,60,42,102,54,6,11,82,10,62.2,53.5,39.4,92.9,794,1799,1.58,1.11,2.68,1.42,2.53,1.64,1.04,2.67,1.41,2.45,281b0e73,512,193,37.7,13.47,5.08,0.11,0.28,17.6,19,0.11,-2.2,0.5,15637,19336,80.9,277919,101551,6811,7878,86.5,6556,7608,86.2,1698,2802,60.6,45.9,2.6,371,1403,329,76,17466,1829,525,61,127,722,756,184,89,75,0,41,369,907,23.87,637,80,57,66,51,16,103,2.71,74,5,9,10,5,0,683,401,330,260,93,321,659,48.7,338,368,104,264,411,1094,684,13,23622,2096,6465,11393,6025,896,23611,835,384,46.0,361,43.2,16922,99928,48196,748,196,572,323,15476,1783,90,100,81,239,170,21,169,1.55,62,65,-3,-0.08,52.2,10.0,0.26,4,551,470,7,7,1,2086,553,480,53.5,Ligue 1
vs Nantes,29,26.3,54.1,38,418,3420,51,29,80,42,9,9,61,5,52.4,45.5,34.5,80.0,750,1771,1.34,0.76,2.11,1.11,1.87,1.38,0.91,2.29,1.2,2.11,d7a486cd,448,176,39.3,11.79,4.63,0.09,0.24,17.3,19,0.1,-1.4,-3.5,16588,20454,81.1,287994,108656,7440,8476,87.8,6976,8088,86.3,1533,2744,55.9,35.9,-5.5,333,1400,329,60,18566,1836,504,57,100,636,795,191,87,70,1,52,368,786,20.68,582,55,47,56,35,11,86,2.26,55,5,8,10,7,1,683,415,367,245,71,333,711,46.8,378,372,109,263,336,1019,738,13,24671,2322,7243,11988,5684,822,24662,818,363,44.4,367,44.9,18004,105220,49109,628,179,638,342,16438,1760,90,100,81,239,176,20,180,1.66,55,37,18,0.47,42.8,9.7,0.25,1,435,454,6,5,2,2061,598,592,50.3,Ligue 1
vs Nice,34,26.3,48.5,38,418,3420,37,25,62,34,3,5,44,4,44.6,40.6,32.7,73.3,704,1606,0.97,0.66,1.63,0.89,1.55,1.17,0.86,2.04,1.07,1.93,132ebc33,441,144,32.7,11.61,3.79,0.08,0.24,18.0,13,0.09,-7.6,-6.6,16263,19624,82.9,291870,99767,6919,7842,88.2,7060,7965,88.6,1739,2781,62.5,35.8,-7.7,342,1279,302,80,17984,1586,412,56,150,611,665,154,61,68,0,54,351,791,20.82,596,68,44,31,34,18,66,1.74,42,6,5,4,6,3,714,417,327,263,124,330,750,44.0,420,436,118,318,370,1084,627,13,23884,2349,7298,11184,5667,769,23879,763,298,39.1,382,50.1,17773,98733,46657,662,168,565,436,16124,1590,90,100,81,255,162,22,180,1.13,37,48,-11,-0.29,57.2,-12.6,-0.33,2,410,369,5,6,1,2087,365,392,48.2,Ligue 1
vs Paris S-G,26,26.1,39.3,38,418,3420,39,27,66,37,2,5,50,4,48.3,44.3,34.7,79.0,698,1316,1.03,0.71,1.74,0.97,1.68,1.27,0.91,2.18,1.17,2.08,e2d8892c,443,157,35.4,11.66,4.13,0.08,0.24,18.0,13,0.1,-9.3,-7.3,14354,17091,84.0,244568,86215,6671,7410,90.0,5773,6493,88.9,1352,2215,61.0,31.4,-7.7,335,1087,261,63,15677,1358,435,54,115,520,397,145,63,56,1,56,287,753,19.82,558,44,57,50,29,15,68,1.79,50,1,4,9,2,2,815,486,420,280,115,423,877,48.2,454,486,134,352,437,1252,536,8,21212,2510,7167,9496,4806,656,21207,769,354,46.0,339,44.1,15933,91657,42875,627,153,458,273,14253,1306,90,100,82,266,149,20,177,0.66,40,89,-49,-1.29,78.2,-29.9,-0.79,0,442,358,3,7,3,1944,201,245,45.1,Ligue 1
vs Reims,34,26.4,51.3,38,418,3420,43,28,71,40,3,3,66,6,52.7,50.3,40.4,90.8,663,1588,1.13,0.74,1.87,1.05,1.79,1.39,1.06,2.45,1.32,2.39,7fdd64e0,485,163,33.6,12.76,4.29,0.08,0.25,17.2,21,0.11,-9.7,-10.3,14671,18644,78.7,263748,100475,6424,7416,86.6,6003,7130,84.2,1687,3001,56.2,41.1,-12.4,356,1244,344,91,16670,1910,562,46,139,690,744,174,57,73,3,64,382,832,21.89,600,66,47,65,40,14,74,1.95,50,5,6,6,6,1,749,440,358,290,101,370,717,51.6,347,430,124,306,482,1231,683,12,23088,2541,7333,10499,5530,858,23085,842,408,48.5,339,40.3,16329,92368,42165,576,174,611,364,14531,1575,90,100,82,248,162,19,168,1.26,45,45,0,0.0,61.5,-8.9,-0.23,1,438,481,2,8,0,2250,465,472,49.6,Ligue 1
vs Rennes,32,26.2,44.6,38,418,3420,38,27,65,35,3,5,55,5,44.1,40.2,30.4,70.6,564,1323,1.0,0.71,1.71,0.92,1.63,1.16,0.8,1.96,1.06,1.86,b3072e00,370,121,32.7,9.74,3.18,0.09,0.29,17.3,9,0.11,-6.1,-5.2,13332,17037,78.3,237044,82521,5855,6813,85.9,5535,6497,85.2,1442,2724,52.9,31.4,-3.4,286,1007,240,67,15206,1741,500,48,135,581,717,155,55,46,2,90,335,652,17.16,493,60,21,35,29,14,59,1.55,37,6,3,11,2,0,645,376,357,239,49,308,718,42.9,410,454,140,314,405,1050,587,11,21024,2334,7069,9843,4376,611,21019,707,327,46.3,289,40.9,14720,84360,38527,453,128,580,311,13202,1308,90,100,82,242,174,19,191,1.08,39,69,-30,-0.79,61.4,-17.3,-0.45,0,396,439,4,3,3,2022,520,538,49.1,Ligue 1
vs Strasbourg,29,26.2,54.1,38,418,3420,59,34,93,49,10,11,68,7,55.4,47.2,35.0,82.1,691,1478,1.55,0.89,2.45,1.29,2.18,1.46,0.92,2.38,1.24,2.16,c0d3eab4,415,164,39.5,10.92,4.32,0.12,0.3,17.1,18,0.12,3.6,1.8,16499,20557,80.3,297866,101764,6936,8068,86.0,7068,8198,86.2,1867,3126,59.7,34.2,-1.0,297,1218,258,68,18599,1873,537,52,170,632,797,174,67,75,1,85,358,737,19.39,527,67,38,46,48,11,104,2.74,71,7,3,10,12,1,590,341,259,254,77,277,617,44.9,340,391,104,287,344,934,702,11,24641,2364,7392,12390,5079,730,24630,755,322,42.6,344,45.6,17910,100662,46291,578,159,557,346,16370,1465,90,100,81,250,161,22,185,1.61,59,51,8,0.21,48.5,6.8,0.18,4,500,503,9,7,3,2123,573,677,45.8,Ligue 1
vs Toulouse,29,26.4,48.7,38,418,3420,54,31,85,50,4,7,64,2,57.0,51.4,37.5,88.9,743,1597,1.42,0.82,2.24,1.32,2.13,1.5,0.99,2.49,1.35,2.34,3f8c4b5f,534,172,32.2,14.05,4.53,0.09,0.29,17.9,22,0.1,-3.0,-1.4,14701,18410,79.9,260807,95421,6323,7311,86.5,6381,7396,86.3,1481,2706,54.7,38.9,-6.5,387,1302,333,74,16526,1842,516,48,92,647,750,191,100,67,0,42,369,920,24.21,661,61,78,56,45,19,87,2.29,54,5,7,12,8,1,605,342,291,230,84,302,585,51.6,283,490,106,384,399,1004,600,16,22692,2282,6763,10600,5636,854,22685,930,474,51.0,368,39.6,16056,93947,44289,602,185,603,348,14579,1583,90,100,82,253,162,20,165,1.5,57,51,6,0.16,52.5,4.5,0.12,0,437,441,6,4,1,2113,460,483,48.8,Ligue 1
vs Troyes,32,26.3,57.4,38,418,3420,79,51,130,72,7,8,47,5,78.0,71.7,54.5,126.2,791,2004,2.08,1.34,3.42,1.89,3.24,2.05,1.43,3.49,1.89,3.32,54195385,618,220,35.6,16.26,5.79,0.12,0.33,16.5,20,0.12,1.0,0.3,18477,22021,83.9,329374,109110,7717,8709,88.6,8320,9343,89.1,1823,2862,63.7,59.6,-3.5,461,1575,457,111,20355,1601,428,49,135,817,630,239,98,92,0,65,312,1128,29.68,855,83,58,77,41,14,131,3.45,85,7,8,21,8,2,688,388,260,290,138,347,712,48.7,365,399,97,302,383,1071,498,8,26047,1829,6230,12999,7067,1140,26039,691,334,48.3,272,39.4,19892,112602,53529,793,206,523,336,18327,1988,90,100,83,273,141,21,172,2.05,81,45,36,0.95,39.1,38.9,1.02,2,431,381,8,5,2,2160,495,476,51.0,Ligue 1
vs Augsburg,34,26.4,58.3,34,374,3060,61,46,107,60,1,4,66,0,58.8,55.7,45.7,101.3,597,1458,1.79,1.35,3.15,1.76,3.12,1.73,1.34,3.07,1.64,2.98,0cdc4311,535,198,37.0,15.74,5.82,0.11,0.3,17.3,13,0.11,2.2,4.3,13841,18024,76.8,252155,99254,5992,6995,85.7,5949,7081,84.0,1561,2925,53.4,49.0,0.3,400,1117,325,88,16282,1663,470,56,83,708,716,165,64,81,0,79,349,921,27.09,672,93,39,64,43,10,108,3.18,75,9,6,8,8,2,500,302,231,200,69,234,435,53.8,201,387,99,288,262,762,701,7,21970,2268,7071,9767,5325,919,21966,566,247,43.6,232,41.0,12276,62096,30586,438,190,580,290,13659,1448,90,100,80,223,150,22,147,1.79,63,42,21,0.62,34.7,24.0,0.71,0,374,410,3,5,1,1982,777,640,54.8,Bundesliga
vs Bayern Munich,28,26.5,35.8,34,374,3060,38,22,60,29,9,10,50,0,37.1,29.7,21.9,51.6,354,879,1.12,0.65,1.76,0.85,1.5,1.09,0.65,1.74,0.87,1.52,054efa67,302,97,32.1,8.88,2.85,0.1,0.3,17.7,8,0.1,0.9,-0.7,9411,12829,73.4,177710,76294,4054,4829,84.0,3857,4768,80.9,1260,2389,52.7,23.3,0.1,216,677,180,46,11249,1531,363,17,116,454,608,126,61,49,1,49,344,523,15.38,359,53,28,35,28,20,65,1.91,40,7,1,6,9,2,716,417,342,301,73,362,828,43.7,466,442,159,283,414,1130,711,12,16907,2576,6902,6685,3516,545,16897,586,251,42.8,287,49.0,8570,43346,20006,309,89,500,336,9334,872,90,100,80,218,155,22,141,0.68,38,92,-54,-1.59,75.0,-37.8,-1.11,0,347,292,8,5,2,1887,381,471,44.7,Bundesliga
vs Bochum,26,26.3,53.9,34,374,3060,69,40,109,61,8,14,62,2,65.7,54.5,39.4,93.9,525,1247,2.03,1.18,3.21,1.79,2.97,1.93,1.16,3.09,1.6,2.76,b42c6323,520,189,36.3,15.29,5.56,0.12,0.32,17.1,20,0.11,3.3,6.5,11742,16038,73.2,219649,90652,5106,6094,83.8,4821,6031,79.9,1535,3027,50.7,41.8,0.6,371,908,325,73,14119,1855,455,34,131,676,853,195,84,90,1,64,319,923,27.15,631,102,56,68,54,12,112,3.29,60,11,9,18,12,2,453,286,213,180,60,195,370,52.7,175,346,102,244,282,735,739,8,19950,2379,7250,8213,4698,921,19936,714,325,45.5,310,43.4,10351,55225,28349,303,149,537,316,11607,1234,90,100,81,216,157,21,151,1.82,72,40,32,0.94,40.0,25.7,0.76,1,370,414,13,3,3,2036,737,770,48.9,Bundesliga
vs Dortmund,30,26.4,41.8,34,374,3060,43,31,74,42,1,1,79,5,43.2,42.4,33.3,75.7,452,1064,1.26,0.91,2.18,1.24,2.15,1.27,0.98,2.25,1.25,2.23,add600ae,409,150,36.7,12.03,4.41,0.1,0.28,17.8,9,0.11,-0.2,-0.4,11021,14394,76.6,200711,80724,4703,5513,85.3,4799,5688,84.4,1243,2321,53.6,32.9,-2.3,316,868,227,65,12810,1498,353,51,86,476,595,153,55,75,1,86,309,703,20.68,505,68,34,44,39,13,73,2.15,57,5,2,6,2,1,722,439,367,277,78,366,781,46.9,415,462,124,338,338,1060,727,11,18449,2399,6827,7857,3970,644,18448,612,264,43.1,287,46.9,9359,49154,25267,333,126,485,293,10935,1052,90,100,81,224,151,23,150,0.76,44,83,-39,-1.15,71.1,-27.9,-0.82,3,422,309,1,6,2,1854,364,425,46.1,Bundesliga
vs Eint Frankfurt,28,26.3,47.1,34,374,3060,51,41,92,49,2,2,78,2,43.5,41.9,33.6,75.5,435,1129,1.5,1.21,2.71,1.44,2.65,1.28,0.99,2.27,1.23,2.22,f0ac8ee6,370,134,36.2,10.88,3.94,0.13,0.37,16.4,12,0.12,7.5,7.1,12292,16233,75.7,230503,86018,4872,5794,84.1,5737,6783,84.6,1412,2745,51.4,37.2,7.4,256,857,222,56,14486,1689,478,34,88,520,721,141,56,73,0,58,357,644,18.94,437,65,47,48,42,5,92,2.71,54,9,13,6,9,1,624,360,311,242,71,331,623,53.1,292,432,101,331,377,1001,734,9,20346,2465,7506,8958,4084,718,20344,658,320,48.6,265,40.3,11183,54759,26288,301,120,549,297,12192,1121,90,100,82,227,148,19,157,1.21,52,58,-6,-0.18,52.1,-8.6,-0.25,1,399,406,2,6,2,1985,555,467,54.3,Bundesliga
vs Freiburg,27,26.6,51.9,34,374,3060,44,28,72,39,5,6,80,5,48.8,44.1,35.2,79.3,527,1220,1.29,0.82,2.12,1.15,1.97,1.44,1.03,2.47,1.3,2.33,a486e511,438,145,33.1,12.88,4.26,0.09,0.27,17.3,9,0.1,-4.8,-5.1,13030,16835,77.4,235183,89097,5520,6460,85.4,5929,6997,84.7,1275,2512,50.8,37.9,-7.2,340,972,296,68,15223,1568,443,49,88,548,659,148,60,68,2,44,303,760,22.35,565,76,30,37,39,13,77,2.26,62,2,2,5,5,1,440,243,217,168,55,200,415,48.2,215,364,98,266,287,727,679,11,20452,2264,7358,8845,4448,801,20446,508,243,47.8,207,40.7,11386,59821,30624,382,152,475,291,12868,1210,90,100,83,215,157,16,156,1.03,44,51,-7,-0.21,48.0,0.8,0.02,2,440,391,5,8,0,1845,686,743,48.0,Bundesliga
