Standard_Squad,Standard_No_Pl,Standard_Age,Standard_Poss,Standard_Playing_Time_MP,Standard_Playing_Time_Starts,Standard_Playing_Time_Min,Standard_Performance_Gls,Standard_Performance_Ast,Standard_Performance_G_Plus_A,Standard_Performance_G_PK,Standard_Performance_PK,Standard_Performance_PKatt,Standard_Performance_CrdY,Standard_Performance_CrdR,Standard_Expected_xG,Standard_Expected_npxG,Standard_Expected_xAG,Standard_Expected_npxG_Plus_xAG,Standard_Progression_PrgC,Standard_Progression_PrgP,Standard_Per_90_Minutes_Gls,Standard_Per_90_Minutes_Ast,Standard_Per_90_Minutes_G_Plus_A,Standard_Per_90_Minutes_G_PK,Standard_Per_90_Minutes_G_Plus_A_PK,Standard_Per_90_Minutes_xG,Standard_Per_90_Minutes_xAG,Standard_Per_90_Minutes_xG_Plus_xAG,Standard_Per_90_Minutes_npxG,Standard_Per_90_Minutes_npxG_Plus_xAG,Standard_Team_ID,Shooting_Standard_Sh,Shooting_Standard_SoT,Shooting_Standard_SoT_Pct,Shooting_Standard_Sh_per90,Shooting_Standard_SoT_per90,Shooting_Standard_G_perSh,Shooting_Standard_G_perSoT,Shooting_Standard_Dist,Shooting_Standard_FK,Shooting_Expected_npxG_perSh,Shooting_Expected_G_xG,Shooting_Expected_np_G_xG,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp_Pct,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp_Pct,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp_Pct,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp_Pct,Passing_xA,Passing_A_xAG,Passing_KP,Passing_One_Third,Passing_PPA,Passing_CrsPA,Pass_Types_Pass_Types_Live,Pass_Types_Pass_Types_Dead,Pass_Types_Pass_Types_FK,Pass_Types_Pass_Types_TB,Pass_Types_Pass_Types_Sw,Pass_Types_Pass_Types_Crs,Pass_Types_Pass_Types_TI,Pass_Types_Pass_Types_CK,Pass_Types_Corner_Kicks_In,Pass_Types_Corner_Kicks_Out,Pass_Types_Corner_Kicks_Str,Pass_Types_Outcomes_Off,Pass_Types_Outcomes_Blocks,Goal_And_Shot_Creation_SCA,Goal_And_Shot_Creation_SCA_SCA90,Goal_And_Shot_Creation_SCA_Types_PassLive,Goal_And_Shot_Creation_SCA_Types_PassDead,Goal_And_Shot_Creation_SCA_Types_TO,Goal_And_Shot_Creation_SCA_Types_Sh,Goal_And_Shot_Creation_SCA_Types_Fld,Goal_And_Shot_Creation_SCA_Types_Def,Goal_And_Shot_Creation_GCA,Goal_And_Shot_Creation_GCA_GCA90,Goal_And_Shot_Creation_GCA_Types_PassLive,Goal_And_Shot_Creation_GCA_Types_PassDead,Goal_And_Shot_Creation_GCA_Types_TO,Goal_And_Shot_Creation_GCA_Types_Sh,Goal_And_Shot_Creation_GCA_Types_Fld,Goal_And_Shot_Creation_GCA_Types_Def,Defensive_Tackles_Tkl,Defensive_Tackles_TklW,Defensive_Tackles_Def_3rd,Defensive_Tackles_Mid_3rd,Defensive_Tackles_Att_3rd,Defensive_Challenges_Tkl,Defensive_Challenges_Att,Defensive_Challenges_Tkl_Pct,Defensive_Challenges_Lost,Defensive_Blocks,Defensive_Blocks_Sh,Defensive_Blocks_Pass,Defensive_Int,Defensive_Tkl_Plus_Int,Defensive_Clr,Defensive_Err,Possession_Touches,Possession_Touches_Def_Pen,Possession_Touches_Def_3rd,Possession_Touches_Mid_3rd,Possession_Touches_Att_3rd,Possession_Touches_Att_Pen,Possession_Touches_Live,Possession_Take_Ons_Att,Possession_Take_Ons_Succ,Possession_Take_Ons_Succ_Pct,Possession_Take_Ons_Tkld,Possession_Take_Ons_Tkld_Pct,Possession_Carries,Possession_Carries_TotDist,Possession_Carries_PrgDist,Possession_Carries_One_Third,Possession_Carries_CPA,Possession_Carries_Mis,Possession_Carries_Dis,Possession_Receiving_Rec,Possession_Receiving_PrgR,Playing_Time_Playing_Time_Mn_perMP,Playing_Time_Playing_Time_Min_Pct,Playing_Time_Starts_Mn_perStart,Playing_Time_Starts_Compl,Playing_Time_Subs,Playing_Time_Subs_Mn_perSub,Playing_Time_Subs_unSub,Playing_Time_Team_Success_PPM,Playing_Time_Team_Success_onG,Playing_Time_Team_Success_onGA,Playing_Time_Team_Success_Plus_per,Playing_Time_Team_Success_Plus_per_90,Playing_Time_Team_Success_xG_onxGA,Playing_Time_Team_Success_xG_xG_Plus_per,Playing_Time_Team_Success_xG_xG_Plus_per_90,Misc_Performance_2CrdY,Misc_Performance_Fls,Misc_Performance_Fld,Misc_Performance_PKwon,Misc_Performance_PKcon,Misc_Performance_OG,Misc_Performance_Recov,Misc_Aerial_Duels_Won,Misc_Aerial_Duels_Lost,Misc_Aerial_Duels_Won_Pct,League
vs Milan,30,26.7,44.4,38,418,3420,42,32,74,38,4,5,113,1,41.1,37.2,31.0,68.2,546,1168,1.11,0.84,1.95,1.0,1.84,1.08,0.82,1.9,0.98,1.8,dc56fe14,401,118,29.4,10.55,3.11,0.09,0.32,18.4,16,0.1,0.9,0.8,12205,15832,77.1,212581,85792,5812,6649,87.4,4641,5621,82.6,1349,2581,52.3,25.9,1.0,326,906,246,64,13974,1817,483,25,170,539,743,163,85,46,0,41,311,709,18.66,513,70,32,37,44,13,74,1.95,46,7,6,5,8,2,644,381,345,235,64,324,692,46.8,368,421,140,281,336,980,788,13,20064,2473,7081,8724,4483,601,20059,640,263,41.1,300,46.9,11032,59150,27918,445,108,628,390,12100,1157,90,100,80,234,183,23,291,0.89,43,64,-21,-0.55,58.8,-17.7,-0.47,0,462,430,5,5,3,1972,478,561,46.0,Serie A
vs Monza,31,26.4,44.8,38,418,3420,51,32,83,48,3,3,78,5,51.3,49.0,38.0,87.0,768,1449,1.34,0.84,2.18,1.26,2.11,1.35,1.0,2.35,1.29,2.29,21680aa4,484,169,34.9,12.74,4.45,0.1,0.28,16.8,13,0.1,-0.3,-1.0,13250,16713,79.3,238725,90981,5915,6743,87.7,5352,6296,85.0,1602,2737,58.5,34.0,-6.0,380,1085,326,89,14879,1779,538,28,186,704,709,186,74,80,0,55,306,869,22.87,635,84,43,54,39,14,85,2.24,62,5,4,11,2,1,546,323,222,235,89,237,519,45.7,282,377,105,272,316,862,555,6,20566,2054,6119,9384,5287,840,20563,618,291,47.1,260,42.1,11585,66080,35083,512,166,600,335,13124,1437,90,100,79,229,188,23,288,1.37,52,48,4,0.11,45.9,5.4,0.14,3,534,466,1,6,2,1983,441,448,49.6,Serie A
vs Napoli,27,26.4,38.2,38,418,3420,28,18,46,27,1,2,92,4,31.8,30.2,24.6,54.8,509,1013,0.74,0.47,1.21,0.71,1.18,0.84,0.65,1.48,0.8,1.44,d48ad4ff,363,105,28.9,9.55,2.76,0.07,0.26,18.3,9,0.08,-3.8,-3.2,11634,15077,77.2,205352,78029,5405,6156,87.8,4729,5618,84.2,1189,2442,48.7,23.0,-6.6,280,769,235,66,13353,1674,438,32,117,491,624,143,66,63,0,50,312,644,16.95,459,61,39,38,24,23,48,1.26,32,2,5,7,0,2,700,406,403,226,71,361,698,51.7,337,436,161,275,331,1031,726,14,19204,2773,7705,7898,3809,583,19202,592,266,44.9,255,43.1,10134,52064,25529,365,129,531,314,11546,1007,90,100,82,237,181,19,282,0.47,28,77,-49,-1.29,64.7,-33.0,-0.87,3,495,363,1,9,2,1901,403,483,45.5,Serie A
vs Roma,30,26.6,51.4,38,418,3420,37,26,63,35,2,3,124,8,32.1,29.8,21.8,51.6,636,1362,0.97,0.68,1.66,0.92,1.61,0.84,0.57,1.42,0.78,1.36,cf74a709,393,115,29.3,10.34,3.03,0.09,0.3,20.3,27,0.08,4.9,5.2,15388,19029,80.9,273127,94749,6807,7696,88.4,6604,7609,86.8,1582,2803,56.4,19.4,4.2,296,1133,201,60,17307,1700,471,17,138,573,710,147,58,64,0,22,322,703,18.5,512,62,36,39,46,8,60,1.58,41,3,1,11,4,0,633,389,303,253,77,315,589,53.5,274,399,138,261,290,923,621,11,23002,2411,7276,10953,4983,514,22999,683,328,48.0,289,42.3,13622,72193,35380,518,121,576,335,15252,1348,90,100,81,249,168,21,304,1.11,38,50,-12,-0.32,57.4,-25.3,-0.67,3,533,417,2,9,0,1979,429,543,44.1,Serie A
vs Salernitana,30,26.6,55.1,38,418,3420,62,40,102,55,7,11,74,6,67.1,58.0,44.7,102.7,770,1624,1.63,1.05,2.68,1.45,2.5,1.77,1.18,2.94,1.53,2.7,c5577084,583,185,31.7,15.34,4.87,0.09,0.3,17.1,15,0.1,-5.1,-3.0,16535,20352,81.2,291866,99799,7385,8294,89.0,7107,8175,86.9,1654,2900,57.0,37.3,-4.7,445,1291,371,85,18467,1813,512,45,140,683,783,186,97,77,1,72,304,1030,27.11,754,80,65,73,46,12,106,2.79,73,4,6,13,9,1,564,331,225,257,82,261,525,49.7,264,372,96,276,299,863,564,8,24286,2070,6937,11876,5712,946,24275,671,310,46.2,259,38.6,14256,76529,39615,559,194,534,328,16414,1613,90,100,80,240,177,23,308,1.5,62,48,14,0.37,36.7,30.5,0.8,3,478,447,11,2,2,2106,585,528,52.6,Serie A
vs Sampdoria,40,26.7,53.9,38,418,3420,69,53,122,61,8,11,79,1,66.3,57.9,47.6,105.5,723,1603,1.82,1.39,3.21,1.61,3.0,1.75,1.25,3.0,1.52,2.78,8ff9e3b3,591,205,34.7,15.55,5.39,0.1,0.3,16.9,23,0.1,2.7,3.1,15794,19629,80.5,277239,99370,7152,8055,88.8,6539,7575,86.3,1632,2881,56.6,39.8,5.4,449,1206,376,98,17746,1793,528,53,165,719,732,223,78,89,0,90,318,1044,27.47,741,101,57,80,54,11,119,3.13,89,8,7,8,6,1,557,354,244,234,79,222,482,46.1,260,431,99,332,317,874,649,5,23745,2211,7297,10812,5910,973,23734,655,297,45.3,261,39.8,13675,72031,36351,561,177,529,328,15639,1593,90,100,80,243,174,23,300,2.24,71,24,47,1.24,34.1,32.2,0.85,1,530,480,8,2,1,2079,636,617,50.8,Serie A
vs Sassuolo,31,26.5,50.8,38,418,3420,59,44,103,55,4,4,86,4,49.7,47.1,38.7,85.8,672,1349,1.55,1.16,2.71,1.45,2.61,1.31,1.02,2.33,1.24,2.26,e2befd26,479,126,26.3,12.61,3.32,0.11,0.44,17.0,16,0.1,9.3,7.9,15353,18941,81.1,277380,98492,6716,7463,90.0,6573,7529,87.3,1663,2915,57.0,30.4,5.3,369,1068,315,100,17077,1745,426,56,154,671,741,177,77,66,0,119,312,845,22.24,622,86,40,45,29,23,97,2.55,74,4,8,7,2,2,634,360,319,244,71,270,569,47.5,299,426,124,302,306,940,625,10,22837,2606,8014,9972,5051,812,22833,539,245,45.5,216,40.1,13318,69964,37124,435,173,532,286,15214,1335,90,100,81,239,175,21,294,1.58,61,47,14,0.37,51.6,-1.9,-0.05,1,479,376,2,10,1,1928,438,375,53.9,Serie A
vs Spezia,34,27.0,52.6,38,418,3420,59,41,100,54,5,7,61,2,59.5,54.0,43.2,97.2,671,1440,1.55,1.08,2.63,1.42,2.5,1.57,1.14,2.7,1.42,2.56,68449f6d,590,175,29.7,15.53,4.61,0.09,0.31,17.8,13,0.09,-0.5,0.0,14451,18557,77.9,262276,95389,6199,7221,85.8,6169,7259,85.0,1659,2991,55.5,38.9,-2.2,448,1031,325,88,16453,2028,553,66,152,726,902,205,74,91,0,76,337,1044,27.47,731,107,63,85,45,13,104,2.74,74,7,9,9,5,0,669,367,314,257,98,303,581,52.2,278,430,117,313,354,1023,749,6,22994,2255,7523,10042,5652,965,22987,668,315,47.2,254,38.0,12494,68637,34429,498,197,594,368,14324,1431,90,100,81,248,168,22,304,1.84,62,31,31,0.82,41.5,18.0,0.47,1,407,478,5,4,2,2038,570,535,51.6,Serie A
vs Torino,28,26.6,46.8,38,418,3420,41,28,69,36,5,6,66,1,40.0,35.3,28.2,63.5,524,1100,1.08,0.74,1.82,0.95,1.68,1.05,0.74,1.79,0.93,1.67,105360fe,427,131,30.7,11.24,3.45,0.08,0.27,18.8,15,0.08,1.0,0.7,12945,17004,76.1,234230,92299,5705,6603,86.4,5320,6442,82.6,1530,3025,50.6,24.4,-0.2,324,932,241,74,15114,1848,558,19,87,615,760,149,57,59,0,42,285,755,19.87,561,71,26,49,37,11,70,1.84,47,8,2,8,5,0,590,312,309,234,47,276,579,47.7,303,407,122,285,306,896,626,5,20896,2507,7769,8956,4388,672,20890,438,168,38.4,199,45.4,11272,57331,26345,411,133,592,274,12779,1089,90,100,82,255,164,20,303,1.32,41,42,-1,-0.03,41.8,-1.8,-0.05,1,413,476,4,2,1,1940,629,590,51.6,Serie A
vs Udinese,30,26.8,52.0,38,418,3420,46,32,78,40,6,7,86,3,51.8,46.7,36.5,83.1,631,1462,1.21,0.84,2.05,1.05,1.89,1.36,0.96,2.32,1.23,2.19,04eea015,461,132,28.6,12.13,3.47,0.09,0.3,17.1,23,0.1,-5.8,-6.7,14910,18518,80.5,265354,93482,6731,7585,88.7,6024,6967,86.5,1712,2866,59.7,33.1,-4.5,331,1105,284,82,16626,1831,497,43,146,703,751,209,73,100,0,61,370,806,21.21,555,80,45,57,53,16,86,2.26,64,2,6,6,7,1,686,389,341,251,94,350,680,51.5,330,438,146,292,301,987,593,11,22575,2185,6867,10696,5249,754,22568,721,306,42.4,326,45.2,12573,67401,35047,508,124,552,325,14778,1451,90,100,82,242,174,20,301,1.45,48,47,1,0.03,46.9,4.9,0.13,1,505,458,5,2,1,1933,406,477,46.0,Serie A
